Part Description,Board,Subsystem,Status,Ref Des,Manufacturer,MPN (Part Number),Supplier Link,JLCPCB Part #,Datasheet Link,Qty Per Board,Qty to Order,Footprint Check,Pin 1 Check,3D Model Check,Stock Status,JLCPCB Assembly,Notes,
2S LiPo Battery,"Pronoia, Ordered & Connected",Power,PENDING,N/A,Tattu,TA-95C-850-2S1P-HV-L-XT30,https://genstattu.com/tattu-850mah-2s-7-6v-hv-95c-lipo-battery-long-pack-with-xt30-plug/,N/A,https://genstattu.com/tattu-850mah-2s-7-6v-hv-95c-lipo-battery-long-pack-with-xt30-plug/,1,2,,,,In Stock,No,,
XT30 Connector (Male),Pronoia,Power,PENDING,TBD,Changzhou Amass Elec,XT30PW-M30.G.Y,https://jlcpcb.com/partdetail/Changzhou_AmassElec-XT30PW_M30_GY/C431092,C431092,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8588889116385136640,,TBD,,,,,,,
LiPo HV Dual-Charger,N/A,Power,PENDING,N/A,ToolKitRC,TLK-M6D,https://www.amainhobbies.com/toolkitrc-m6d-dual-dc-battery-charger-workstation-6s-15a-250w-black-tlk-m6d/p1236929?srsltid=AfmBOopi90bLgBkDjFysn3j1iy5fq-55MuFJByporEgIq4r_rxQNTR3wdvs,N/A,,1,,,,,In Stock,No,,
5V Buck Converter (3A),Pronoia,Power,PENDING,TBD,Texas Instruments,TPS563201DDCR,https://jlcpcb.com/partdetail/TexasInstruments-TPS563201DDCR/C116592,C116592,https://www.ti.com/lit/ds/symlink/tps563201.pdf,,TBD,,,,In Stock,,5V Rail for Servos/Teensy,
,,,,,,,,,,,,,,,,,,
GX-12 4-pin  Male  Connector,"Pronoia, Epoxyed to Switchband",Pre-Flight Protocol,PENDING,N/A,Olimex LTD,CONNECTOR-GX12-4,https://www.digikey.com/en/products/detail/olimex-ltd/CONNECTOR-GX12-4/19204416,N/A,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5560/Olimex - CONNECTOR-GX12-4.pdf,1,,,,,,No,,
GX-12 4-pin  Female Connector,"Pronoia, External Connection to Switchband",Pre-Flight Protocol,PENDING,N/A,,,,,,,,,,,,No,,
1x4 Locked Right-Angle Male Header,"Pronoia, Ordered & Soldered",Pre-Flight Protocol,PENDING,TBD,TE Connectivity AMP Connectors,640457-4,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/640457-4/109019,N/A,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=640457&DocType=Customer+Drawing&DocLang=English,1,,,,,,No,,
1x4 Locked Female Header,"Pronoia, Connect onto Wires to GX-12",Pre-Flight Protocol,PENDING,N/A,TE Connectivity AMP Connectors,3-640443-4,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/3-640443-4/698125,N/A,https://www.te.com/usa-en/product-3-640443-4.datasheet.pdf,1,,,,,,No,Figure out Wiring situation to GX-12 male connector,
USB-to-TTL Serial Cable,"Pronoia, Soldered onto female GX-12",Pre-Flight Protocol,PENDING,N/A,,USB to TTL Serial Cable,https://www.adafruit.com/product/954?srsltid=AfmBOoowpezFeOnHgKMPncH1BJ9eWHpce2sW3o6XlSjCNrac1zujZPTmRx4,N/A,https://www.adafruit.com/product/954?srsltid=AfmBOoowpezFeOnHgKMPncH1BJ9eWHpce2sW3o6XlSjCNrac1zujZPTmRx4,1,,,,,,No,,
,,,,,,,,,,,,,,,,,,
E-Matches (pk of 6),"Pronoia, Connected to Terminal Block",Pyro-Channel/Motor Ignition,PENDING,N/A,MJG Technologies,89868,https://www.apogeerockets.com/Rocket-Motors/Motor-Starters/Firewire-Initiator-6-pk,N/A,https://www.apogeerockets.com/Rocket-Motors/Motor-Starters/Firewire-Initiator-6-pk,1,1,,,,In Stock,No,FireWire Initiator,
3.5 mm 1x8 Screw Terminal Block,"Pronoia, Ordered & Connected",Pyro-Channel,PENDING,TBD,Phoenix Contact,1751303,https://www.digikey.ca/en/products/detail/phoenix-contact/1751303/2511031,N/A,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/640/1751303.pdf,1,,,,,In Stock,No,,
N-Channel MOSFET,Pronoia,Pyro-Channel,PENDING,TBD,Alpha & Omega Semicon,AO3400A,https://jlcpcb.com/partdetail/Alpha_OmegaSemicon-AO3400A/C20917,C20917,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8550723985357750272,5,,,,,In Stock,,MOSFET for Parachute,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
X7R Capacitors,Pronoia,Power,PENDING,TBD,FH (Guangdong Fenghua Advanced Tech),0603B105K500NT,https://jlcpcb.com/partdetail/91727-0603B105K500NT/C90540,C90540,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8588919303701188608,2 or more,,,,,In Stock,Yes,Capacitors for LDO Regulator Input/Output,
Power Inductor (Shielded),Pronoia,Power,PENDING,L1,Sunlord,SWPA6045S2R2MT,https://jlcpcb.com/partdetail/Sunlord-SWPA6045S2R2MT/C83455,C83455,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8588933041737228288,,TBD,,,,,,Critical Spec: I_sat > 4.0A,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,
"Are power lines thick enough? For servos, E-matches",,,,,,,,,,,,,,,,,,
Design for 8.4 V LiPo battery,,,,,,,,,,,,,,,,,,
Does our department have a 2S LiPo charger? How about HV Capability?,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Things to add:,Notes on mouting parts to the sled:,,,,,,,,,,,,,,,,,
,External Rotary Switch,,,,,,,,,,,,,,,,,
,"RGB LED? No, will be SMD",,,,,,,,,,,,,,,,,
,Audio Beacon? Not Necessary,,,,,,,,,,,,,,,,,
,Barometer? Hole in Airframe,,,,,,,,,,,,,,,,,
